"DATE","TIME PERIOD","HICP - Food incl. alcohol and tobacco (ICP.M.PL.N.FOOD00.4.ANR)"
"2014-04-30","2014Apr","1.5"
"2014-05-31","2014May","0.8"
"2014-06-30","2014Jun","0.6"
"2014-07-31","2014Jul","0.0"
"2014-08-31","2014Aug","-0.3"
"2014-09-30","2014Sep","-0.4"
"2014-10-31","2014Oct","-0.5"
"2014-11-30","2014Nov","-0.7"
"2014-12-31","2014Dec","-1.2"
"2015-01-31","2015Jan","-1.9"
"2015-02-28","2015Feb","-2.1"
"2015-03-31","2015Mar","-2.0"
"2015-04-30","2015Apr","-1.4"
"2015-05-31","2015May","-1.3"
"2015-06-30","2015Jun","-0.8"
"2015-07-31","2015Jul","-0.9"
"2015-08-31","2015Aug","-0.3"
"2015-09-30","2015Sep","0.2"
"2015-10-31","2015Oct","0.5"
"2015-11-30","2015Nov","0.4"
"2015-12-31","2015Dec","0.3"
"2016-01-31","2016Jan","0.5"
"2016-02-29","2016Feb","0.9"
"2016-03-31","2016Mar","1.1"
"2016-04-30","2016Apr","1.1"
"2016-05-31","2016May","1.2"
"2016-06-30","2016Jun","1.2"
"2016-07-31","2016Jul","1.1"
"2016-08-31","2016Aug","1.0"
"2016-09-30","2016Sep","0.3"
"2016-10-31","2016Oct","0.5"
"2016-11-30","2016Nov","1.0"
"2016-12-31","2016Dec","2.0"
"2017-01-31","2017Jan","2.7"
"2017-02-28","2017Feb","3.2"
"2017-03-31","2017Mar","2.6"
"2017-04-30","2017Apr","2.1"
"2017-05-31","2017May","2.7"
"2017-06-30","2017Jun","2.6"
"2017-07-31","2017Jul","3.1"
"2017-08-31","2017Aug","3.0"
"2017-09-30","2017Sep","3.6"
"2017-10-31","2017Oct","3.9"
"2017-11-30","2017Nov","4.4"
"2017-12-31","2017Dec","3.9"
"2018-01-31","2018Jan","3.6"
"2018-02-28","2018Feb","2.3"
"2018-03-31","2018Mar","2.6"
"2018-04-30","2018Apr","3.1"
"2018-05-31","2018May","2.3"
"2018-06-30","2018Jun","2.0"
"2018-07-31","2018Jul","1.8"
"2018-08-31","2018Aug","1.8"
"2018-09-30","2018Sep","1.9"
"2018-10-31","2018Oct","1.5"
"2018-11-30","2018Nov","0.9"
"2018-12-31","2018Dec","0.9"
"2019-01-31","2019Jan","0.8"
"2019-02-28","2019Feb","1.9"
"2019-03-31","2019Mar","2.3"
"2019-04-30","2019Apr","2.6"
"2019-05-31","2019May","3.9"
"2019-06-30","2019Jun","4.5"
"2019-07-31","2019Jul","5.3"
"2019-08-31","2019Aug","5.8"
"2019-09-30","2019Sep","5.0"
"2019-10-31","2019Oct","5.0"
"2019-11-30","2019Nov","5.3"
"2019-12-31","2019Dec","5.4"
"2020-01-31","2020Jan","6.2"
"2020-02-29","2020Feb","6.5"
"2020-03-31","2020Mar","6.9"
